system:index,potential_evaporation_sum
20031101,-0.040437439640832656
20031102,-0.02838954912048504
20031103,-0.026452364208472256
20031104,-0.031708145868862135
20031105,-0.034681152479865016
20031106,-0.02752150343475792
20031107,-0.011816697252405207
20031108,-0.010143875343238462
20031109,-0.018201956778262647
20031110,-0.025739154285196988
20031111,-0.03216018927383577
20031112,-0.0265998588394873
20031113,-0.022201247451846127
20031114,-0.03141275032744025
20031115,-0.04059342898396591
20031116,-0.03657890537410396
20031117,-0.009969912434541492
20031118,-0.017732142593158015
20031119,-0.030578477984926095
20031120,-0.03303819003493634
20031121,-0.010986313347109663
20031122,-0.008018446161589912
20031123,-0.019777990077304453
20031124,-0.010020872511424875
20031125,-0.014786786444228525
20031126,-0.015076789627475058
20031127,-0.021332841180124434
20031128,-0.030010074922973733
20031129,-0.032785020929006946
20031130,-0.028634106418596064
20031201,-0.028356353001870907
20031202,-0.010208505168013873
20031203,-0.015473705498693213
20031204,-0.01765112314229938
20031205,-0.004121320445707823
20031206,-0.01617570006880353
20031207,-0.013381725469140928
20031208,-0.022019803341921173
20031209,-0.02694073617196064
20031210,-0.02701695650396318
20031211,-0.025675111113180302
20031212,-0.019458952446453893
20031213,-0.035105615607346895
20031214,-0.015859738413805568
20031215,-0.007056818414279975
20031216,-0.021671388402247745
20031217,-0.029909007092396866
20031218,-0.030441347393658044
20031219,-0.03154999031915956
20031220,-0.03893128488721456
20031221,-0.025050489975409734
20031222,-0.045269429683310596
20031223,-0.03088182851218805
20031224,-0.022992720441629998
20031225,-0.038595326480132294
20031226,-0.03745976370956719
20031227,-0.009086048077376969
20031228,-0.014315432172595538
20031229,-0.026667412192656035
20031230,-0.034555450664083345
20031231,-0.03631312199347217
20040101,-0.032797536630860685
20040102,-0.03821355945798118
20040103,-0.037203778546825245
20040104,-0.03878806456942219
20040105,-0.042868413209450534
20040106,-0.03511550993903784
20040107,-0.05186152896008536
20040108,-0.04474917190336298
20040109,-0.03691312535559377
20040110,-0.021997238777302478
20040111,-0.021113775175571555
20040112,-0.01073343873488594
20040113,-0.009829441357009635
20040114,-0.008877201268563237
20040115,-0.005934405363936923
20040116,-0.00269884819327391
20040117,-0.028235799707762695
20040118,-0.019123074556599017
20040119,-0.016041743012717952
20040120,-0.024210467151145342
20040121,-0.02686254856707553
20040122,-0.02644896276233362
20040123,-0.008751093297409952
20040124,-0.02099727765156571
20040125,-0.011536226820819845
20040126,-0.018976688471561642
20040127,-0.018363544864962677
20040128,-0.02890929244992599
20040129,-0.04105879190146757
20040130,-0.04329650576933861
20040131,-0.034417716583280605
20040201,-0.035168516713454244
20040202,-0.021177791560343648
20040203,-0.01780992764075676
20040204,-0.015833616769655518
20040205,-0.030346216270753946
20040206,-0.0354591414598415
20040207,-0.03426672706119612
20040208,-0.028988259696903485
20040209,-0.03592869787958659
20040210,-0.03382698210948731
20040211,-0.038115072408857316
20040212,-0.03285480738847676
20040213,-0.025727068056765286
20040214,-0.025568954576896244
20040215,-0.026903537753571325
20040216,-0.023651078084485144
20040217,-0.028175040638893416
20040218,-0.01477699808388582
20040219,-0.024384118646930325
20040220,-0.0387096760217976
20040221,-0.048479974783183284
20040222,-0.026925406053658552
20040223,-0.007423758253863565
20040224,-0.0017403970198293164
20040225,-0.0033363805832292122
20040226,-0.018875890078108776
20040227,-0.022905357534603044
20040228,-0.02544198629280296
20040229,-0.028781039262720153
20040301,-0.017423046134676434
20040302,-0.013400890146678853
20040303,-0.01622867831369725
20040304,-0.017906426069407955
20040305,-0.017580304398424576
20040306,-0.006644544316381253
20040307,-0.014864749144992247
20040308,-0.024095912623906028
20040309,-0.03213916600110214
20040310,-0.00993175836687925
20040311,-0.007258877326772532
20040312,-0.0074844854090691535
20040313,-0.0024912421015269902
20040314,-0.0014813590235586646
20040315,-0.007511858076329262
20040316,-0.010473791314094602
20040317,-0.012536311920321045
20040318,-0.00852919531536965
20040319,-0.016822521647437003
20040320,-0.019931746208475914
20040321,-0.006785463577153725
20040322,-0.0025550044584070454
20040323,-0.003948948200560707
20040324,-0.016207011208886134
20040325,-0.020833152799726824
20040326,-0.02216412286783001
20040327,-0.015561788558944965
20040328,-0.014006710045745932
20040329,-0.015096831340450473
20040330,-0.021021925346438295
20040331,-0.02332866262416908
20040401,-0.016264557374581816
20040402,-0.01925629436452693
20040403,-0.013041007918930245
20040404,-0.010165521287426503
20040405,-0.005754645728933052
20040406,-0.009714330434949067
20040407,-0.009988546995307919
20040408,-0.010742949401954622
20040409,-0.014221060904000967
20040410,-0.018787748510660104
20040411,-0.016861046582033263
20040412,-0.01842965669171246
20040413,-0.01269567302379711
20040414,-0.016061748650420506
20040415,-0.017321979843673924
20040416,-0.016278230959232465
20040417,-0.022139189202551094
20040418,-0.01829832644544416
20040419,-0.01356572436572979
20040420,-0.013922861496842262
20040421,-0.011047565803654924
20040422,-0.010969561513027175
20040423,-0.01682407045322415
20040424,-0.024257112501073423
20040425,-0.021959416300755267
20040426,-0.017242752747347462
20040427,-0.015045454168562495
20040428,-0.009704730289348682
20040429,-0.002325658179840191
20040430,-0.019443290327133052
20040501,-0.022971198092401404
20040502,-0.025578067740783757
20040503,-0.016113978334713557
20040504,-0.021782884682157028
20040505,-0.016230643752504298
20040506,-0.015464175943456636
20040507,-0.00876999807052046
20040508,-0.01473142429493107
20040509,-0.009986943509715384
20040510,-0.00861621099049523
20040511,-0.02180497083482293
20040512,-0.01736161123463817
20040513,-0.019976094109960485
20040514,-0.018772787395241804
20040515,-0.01729335405170422
20040516,-0.021760172524852666
20040517,-0.016005678136189257
20040518,-0.015300220226354267
20040519,-0.015481667075215309
20040520,-0.018730562291374334
20040521,-0.015289206702055148
20040522,-0.01079417165122441
20040523,-0.012011831271189792
20040524,-0.00800251844939737
20040525,-0.0038166434917882774
20040526,-0.00987542258987242
20040527,-0.021011287532231603
20040528,-0.017415862576743296
20040529,-0.016218162536516176
20040530,-0.013657650394238266
20040531,-0.016566932894924582
20040601,-0.01572087322058975
20040602,-0.01011161664367351
20040603,-0.0060634234284587234
20040604,-0.012968007558130096
20040605,-0.010597243562606757
20040606,-0.009987289061536134
20040607,-0.009259310298404233
20040608,-0.011420669657128341
20040609,-0.013052571167560983
20040610,-0.009214686672232514
20040611,-0.004412396732874182
20040612,-0.00851234950955141
20040613,-0.012548385460846743
20040614,-0.01967441286383065
20040615,-0.016977570953982415
20040616,-0.013497042842537183
20040617,-0.009136550503143388
20040618,-0.02363465668974073
20040619,-0.012230820797228288
20040620,-0.018231600098103953
20040621,-0.0091102961573524
20040622,-0.01037629873557159
20040623,-0.013022710117662487
20040624,-0.016990013077746446
20040625,-0.016788821687853034
20040626,-0.01655625288836285
20040627,-0.011656195030219597
20040628,-0.017849363166317134
20040629,-0.01982266393054332
20040630,-0.028102802347906082
20040701,-0.014746266493687588
20040702,-0.011826938420706489
20040703,-0.016445895761573688
20040704,-0.011456174513398627
20040705,-0.021086154666443334
20040706,-0.018993092738775738
20040707,-0.020391742012100297
20040708,-0.014980090258707194
20040709,-0.0071032120439914505
20040710,-0.0071756798765573605
20040711,-0.00263561741405616
20040712,-0.011588026493645381
20040713,-0.012109806136641931
20040714,-0.011739704322359325
20040715,-0.01258844023175595
20040716,-0.014172820470007568
20040717,-0.018068980795596153
20040718,-0.013592556935400407
20040719,-0.006909704925892848
20040720,-0.0038538720530872507
20040721,-0.010937901593225816
20040722,-0.009469564748763558
20040723,-0.010814785118045473
20040724,-0.01421254009705318
20040725,-0.01127934183139491
20040726,-0.002860896492427037
20040727,-0.0016666861984907812
20040728,-0.011982043358753273
20040729,-0.013039950407087907
20040730,-0.010936328193965736
20040731,-0.009937479993132213
20040801,-0.011022183495398763
20040802,-0.026034241812460564
20040803,-0.03209889590260607
20040804,-0.019374017702190296
20040805,-0.01208309522069576
20040806,-0.014933806102135561
20040807,-0.01609982656067209
20040808,-0.01653725189803862
20040809,-0.018428112224385104
20040810,-0.019666472216377247
20040811,-0.01755076100291515
20040812,-0.019305467488314895
20040813,-0.03980951241124117
20040814,-0.03233921629551638
20040815,-0.01285199563625262
20040816,-0.007967191840540021
20040817,-0.007335558909476027
20040818,-0.0038730381772780122
20040819,-0.007005400507930298
20040820,-0.01727697345923922
20040821,-0.020984814928079742
20040822,-0.02634078105333194
20040823,-0.020551701373780585
20040824,-0.01913871497687665
20040825,-0.022367725989867727
20040826,-0.024035808271294052
20040827,-0.022050120115190214
20040828,-0.020747050260790094
20040829,-0.014908125650382138
20040830,-0.027182280667723793
20040831,-0.022226527672348104
20040901,-0.008400894687992258
20040902,-0.009216226909383623
20040903,-0.013420805795530826
20040904,-0.016982544646105453
20040905,-0.017234855580410817
20040906,-0.019787220665489515
20040907,-0.018048075400901732
20040908,-0.005732845013124245
20040909,-0.01669861745273824
20040910,-0.019446970778312516
20040911,-0.028686584197293887
20040912,-0.026859265807917705
20040913,-0.022674230904113954
20040914,-0.021714264089239273
20040915,-0.028299012965657823
20040916,-0.026192244097893936
20040917,-0.02908935452304894
20040918,-0.026628574554363262
20040919,-0.017356082796675786
20040920,-0.011054497153533587
20040921,-0.023469872149220354
20040922,-0.03245308178174666
20040923,-0.02580353780842798
20040924,-0.017471514032628623
20040925,-0.021167574871611528
20040926,-0.02945717998431621
20040927,-0.028889370617298196
20040928,-0.019682986026797005
20040929,-0.023901446990580718
20040930,-0.0048687783600788225
20041001,-0.007331867092648489
20041002,-0.015872191942184755
20041003,-0.029939001540847512
20041004,-0.028180636597812718
20041005,-0.03117013677433863
20041006,-0.02540526709043712
20041007,-0.03249035619156187
20041008,-0.03735269514952948
20041009,-0.027872171774337956
20041010,-0.025167578470401186
20041011,-0.0330301732341938
20041012,-0.03852447319381465
20041013,-0.04389919848306592
20041014,-0.05113559179916614
20041015,-0.030711798515261665
20041016,-0.021054828792683042
20041017,-0.007068791254504348
20041018,-0.004549102878222849
20041019,-0.002656093346194343
20041020,-0.0024260376044964696
20041021,-0.007575829455622898
20041022,-0.021058389071636468
20041023,-0.028544984485130685
20041024,-0.01693323603153288
20041025,-0.01851299972743403
20041026,-0.025181575507667447
20041027,-0.039277618888907004
20041028,-0.030476471318996577
20041029,-0.015363278966289312
20041030,-0.020326302236712755
20041031,-0.021006358509121262
20041101,-0.024132360188631904
20041102,-0.033930395721549926
20041103,-0.030172639125281307
20041104,-0.0232212903685746
20041105,-0.005607309914246734
20041106,-0.030134206039838993
20041107,-0.02585361247457449
20041108,-0.005660502087284577
20041109,-0.004016516737401978
20041110,-0.016808403677337283
20041111,-0.02710066348246841
20041112,-0.035110663190795026
20041113,-0.053746644825095474
20041114,-0.03349747591044755
20041115,-0.03686172115928659
20041116,-0.02851582535785857
20041117,-0.029847135944284918
20041118,-0.032234352147021667
20041119,-0.03304020948736159
20041120,-0.005141296756456387
20041121,-0.007198556206290495
20041122,-0.01597159268839862
20041123,-0.016149378797802334
20041124,-0.014951848290600245
20041125,-0.023537698780018563
20041126,-0.03288961178226209
20041127,-0.0362172345851185
20041128,-0.039646871826712865
20041129,-0.03548529369389858
20041130,-0.07039876070931113
20041201,-0.0583090288636221
20041202,-0.0067545970919176
20041203,-0.016191454322037748
20041204,-0.02455345917083763
20041205,-0.00671563768712066
20041206,-0.016493991755842707
20041207,-0.008627277197911565
20041208,-0.010057035674918734
20041209,-0.014004747322644602
20041210,-0.004114569738218764
20041211,-0.033729827997146127
20041212,-0.019670829062998992
20041213,-0.02600429729695053
20041214,-0.03864207518911553
20041215,-0.01934824592246762
20041216,-0.022308301597811143
20041217,-0.026684975238535188
20041218,-0.023994428772916732
20041219,-0.031983137853127015
20041220,-0.017439462186809394
20041221,-0.03069021673561611
20041222,-0.03159390926166248
20041223,-0.018271354511511333
20041224,-0.020289324358131883
20041225,-0.012345271903589675
20041226,-0.015859174737760634
20041227,-0.014049231427561728
20041228,-0.03019104043248013
20041229,-0.025609625125833573
20041230,-0.01949605838659572
20041231,-0.028839697622686324
20050101,-0.03579908031291147
20050102,-0.03395184874834352
20050103,-0.023120115378902937
20050104,-0.01404001113043258
20050105,-0.031905936844495185
20050106,-0.0310532710758741
20050107,-0.03611837192257054
20050108,-0.020799726099412823
20050109,-0.023972121162093216
20050110,-0.02981147050093189
20050111,-0.026388986734685087
20050112,-0.03879582072498811
20050113,-0.04337350425294273
20050114,-0.04447504396725754
20050115,-0.039423868197620816
20050116,-0.030058490931762948
20050117,-0.004230136580733398
20050118,-0.011463862512544495
20050119,-0.01890256463027582
20050120,-0.028363300589406677
20050121,-0.030237274769640214
20050122,-0.023092121352704574
20050123,-0.012122883187381648
20050124,-0.00534453939104128
20050125,-0.007996026169708213
20050126,-0.012418302809334831
20050127,-0.006832246507476075
20050128,-0.009875613439014155
20050129,-0.02154836372938593
20050130,-0.01698997792981514
20050131,-0.021150031785494957
20050201,-0.01832526816302937
20050202,-0.0496682742038713
20050203,-0.035296328836030504
20050204,-0.040266764372294934
20050205,-0.033319683012528904
20050206,-0.03308775396106649
20050207,-0.03557708772030011
20050208,-0.04961266325276671
20050209,-0.02374554918711287
20050210,-0.008114809340003271
20050211,-0.021418967470245687
20050212,-0.02135913102005425
20050213,-0.013087396962141487
20050214,-0.023114839398908887
20050215,-0.03077810483082831
20050216,-0.02126100776271661
20050217,-0.007801520248543894
20050218,-0.017826209443056736
20050219,-0.022877534381297766
20050220,-0.007213365384193706
20050221,-0.02709198872932753
20050222,-0.01838885588819188
20050223,-0.016356243698972237
20050224,-0.017013438342727838
20050225,-0.01821931349008203
20050226,-0.015230052593907192
20050227,-0.006355563652914073
20050228,-0.013935371648509925
20050301,-0.025787133258327873
20050302,-0.02387602363125534
20050303,-0.02313663502539226
20050304,-0.026516908909661813
20050305,-0.03044599161012884
20050306,-0.027262308672801133
20050307,-0.022598753708794328
20050308,-0.023191299524578823
20050309,-0.01799559867169229
20050310,-0.015507421655843153
20050311,-0.013242065095334961
20050312,-0.01960476508782321
20050313,-0.021779808867418315
20050314,-0.020323045753731273
20050315,-0.023534554466399103
20050316,-0.020092895286809208
20050317,-0.0029095026219733418
20050318,-0.002986946872109769
20050319,-0.011172769505878111
20050320,-0.015964290944061783
20050321,-0.013169404396706254
20050322,-0.017365429986353525
20050323,-0.005932442077311672
20050324,-0.017758846263850117
20050325,-0.02207962635334095
20050326,-0.014544121569609377
20050327,-0.01738673319146955
20050328,-0.016939450653168247
20050329,-0.012733155322608438
20050330,-0.01171310337750732
20050331,-0.013357105717786089
20050401,-0.01778299411112919
20050402,-0.020912438794419726
20050403,-0.026575240149610685
20050404,-0.003510391218355919
20050405,-0.0020535392394939915
20050406,-0.009539601524885736
20050407,-0.006583011600729625
20050408,-0.00833279690064765
20050409,-0.015764935360741368
20050410,-0.01579757463828624
20050411,-0.015872883420135014
20050412,-0.013636404333220732
20050413,-0.009880163620053024
20050414,-0.01330049914018215
20050415,-0.011496943577858023
20050416,-0.010077642968455118
20050417,-0.013291206445590856
20050418,-0.01939036938969981
20050419,-0.016899675829628768
20050420,-0.007519124200633639
20050421,-0.009546820948643692
