system:index,PET
2007_05_09,173.51507060638423
2007_05_17,192.61255488311386
2007_05_25,204.55951109528897
2007_06_02,116.32787468850124
2007_06_10,101.77085558324437
2007_06_18,101.69941853565918
2007_06_26,117.44772754242321
2007_07_04,114.748546339148
2007_07_12,143.70440251572322
2007_07_20,146.89693841224633
2007_07_28,177.08567699062536
2007_08_05,243.88892844428622
2007_08_13,131.1517740595704
2007_08_21,223.91372967841463
2007_08_29,276.1951465527471
2007_09_06,269.3658478699419
2007_09_14,368.17491396701075
2007_09_22,411.2833748665004
2007_09_30,491.69929986946727
2007_10_08,498.5370831850006
2007_10_16,524.883647798742
2007_10_24,446.49471935445615
2007_11_01,330.6289901507061
2007_11_09,534.6290494838022
2007_11_17,523.3188560579089
2007_11_25,420.7646849412601
2007_12_03,467.0224279102884
2007_12_11,451.55968909457704
2007_12_19,470.28206953838855
2007_12_27,392.9731814406076
2008_01_01,536.3255013646611
2008_01_09,589.9715794470156
2008_01_17,452.1394921086983
2008_01_25,558.986472054112
2008_02_02,368.9067283730865
2008_02_10,391.83357066571745
2008_02_18,492.3581939005579
2008_02_26,411.0608757564971
2008_03_05,482.98795538151194
2008_03_13,440.4765634270797
2008_03_21,338.3179067283732
2008_03_29,395.7000711997153
2008_04_06,249.13658478699415
2008_04_14,184.05245045686482
2008_04_22,181.2810608757565
2008_04_30,220.00628930817612
2008_05_08,214.4796487480717
2008_05_16,165.74664768007594
2008_05_24,173.42144298089468
2008_06_01,93.26996558680432
2008_06_09,102.65023139907443
2008_06_17,124.92061231755075
2008_06_25,155.79162216684463
2008_07_03,122.19449388869108
2008_07_11,161.99537201851192
2008_07_19,125.65990269372254
2008_07_27,161.53696451880865
2008_08_04,178.82781535540522
2008_08_12,218.80081879672477
2008_08_20,247.59677227957755
2008_08_28,197.00183932597605
2008_09_05,277.16743799691454
2008_09_13,335.2924528301887
2008_09_21,370.83072267710935
2008_09_29,444.9220956449508
2008_10_07,387.08039634508117
2008_10_15,420.19823187373896
2008_10_23,477.7243384359796
2008_10_31,433.11498754004987
2008_11_08,495.7807048771806
2008_11_16,416.59475495431343
2008_11_24,529.4731814406074
2008_12_02,557.0604604248248
2008_12_10,548.0605790910168
2008_12_18,591.2802895455084
2008_12_26,404.97246944345557
2009_01_01,579.6878077721744
2009_01_09,608.4286561851081
2009_01_17,517.9425689706318
2009_01_25,640.3975674873923
2009_02_02,652.9889646989025
2009_02_10,297.38137051320064
2009_02_18,451.3162859685553
2009_02_26,450.04663304657385
2009_03_06,434.06389795312975
2009_03_14,462.3354494215367
2009_03_22,413.8245624443787
2009_03_30,266.88407000889936
2009_04_07,242.5923464847226
2009_04_15,251.10311480272927
2009_04_23,244.3202610501335
2009_05_01,205.93740729753787
2009_05_09,204.09012162563045
2009_05_17,126.41750222485912
