,P_mm,EP_mm,Q_mm,RC
1992-08-01,35.71072134516204,52.88351569638373,3.6111219512195123,0.10112150679669017
1992-09-01,28.212759479546126,61.6917444319022,3.0795447154471542,0.1091543249315893
1992-10-01,51.17877203771201,69.360834581887,2.163707317073171,0.04227743712722931
1992-11-01,143.99460129187827,104.6610375607279,3.569639024390244,0.024790089297546343
1992-12-01,162.71684536452878,122.5125280865269,19.14258211382114,0.11764351792180269
1993-01-01,158.7602995948629,126.7710106774236,4.968156097560976,0.03129344118296016
1993-02-01,103.14823175251917,112.52992825715,4.419720325203252,0.042848241313601675
1993-03-01,101.97083831020629,90.6088313580044,14.131850406504066,0.13858717492851685
1993-04-01,28.436094167331145,67.9803682604043,5.151479674796748,0.181159889416706
1993-05-01,38.225619640732205,44.45920573631164,3.271310569105691,0.08557900695532139
1993-06-01,49.726430274388136,36.983517397344556,6.03970081300813,0.12145856398059023
1993-07-01,45.03808813697167,36.410858763977025,6.372865040650407,0.14149945755399274
1993-08-01,42.07645795272026,53.6041463186881,7.71210406504065,0.18328786310165301
1993-09-01,54.70085010040512,68.8879607764248,4.440689430894309,0.08118136048604883
1993-10-01,101.04038865133502,90.0669688527494,5.094439024390244,0.050419828074591756
1993-11-01,95.69859570262442,100.8788319483949,3.885450406504065,0.04060091350324289
1993-12-01,103.39450832914132,113.6161239797583,8.869047154471545,0.08577870621753168
1994-01-01,94.35445419590727,108.9954915187856,3.0319609756097563,0.032133734453219605
1994-02-01,109.12053378417824,86.1776319408514,2.565359349593496,0.023509409829934835
1994-03-01,91.37016647109031,82.0962472893477,6.516591869918699,0.07132078359494463
1994-04-01,72.62555905456053,70.0327185467097,7.072143089430894,0.09737815696699685
1994-05-01,28.515272380125342,49.8853410911927,3.128039024390244,0.10969697159794391
1994-06-01,34.91983071310467,34.49767387027271,1.775271544715447,0.050838492296849114
1994-07-01,17.002168192929062,35.21965837112088,2.1945756097560976,0.12907622044750666
1994-08-01,27.634069222956512,39.809772020978976,1.3565918699186992,0.049091281453103354
1994-09-01,6.956551712365079,51.1064735193682,0.8545040650406504,0.1228344300987216
1994-10-01,50.41102072997866,60.810432831366796,0.2661073170731707,0.005278752804838978
1994-11-01,102.4241860708918,83.4188425428224,0.44470894308943093,0.004341835265174872
1994-12-01,99.47702003195639,100.1973778762044,1.9707186991869918,0.019810793473245485
1995-01-01,159.28765294889655,103.6432219366177,22.776325203252032,0.1429886421300918
1995-02-01,95.17898106323402,86.6143111630829,15.443095934959349,0.162253217700444
1995-03-01,184.37821274917982,100.7125406756677,130.60321300813007,0.7083440665833823
1995-04-01,26.973319251824016,64.7966433646644,5.65610406504065,0.20969254885670652
1995-05-01,89.39854087919748,46.414735946949925,8.925047154471544,0.09983437164295318
1995-06-01,48.39898145201538,40.00077114545965,9.338861788617887,0.19295575048158392
1995-07-01,11.080457485669049,39.57191029446791,5.6874666666666664,0.5132880726290022
1995-08-01,3.9994084761622912,42.850808865724744,2.6405463414634145,0.6602342214359662
1995-09-01,102.17997785498106,69.05879811064,5.029047154471544,0.049217540070413984
1995-10-01,71.20388213100492,85.0145083565699,3.512481300813008,0.0493299128599554
1995-11-01,138.02629171194994,98.0838615452417,14.641378861788619,0.10607673857053285
1995-12-01,146.33362987421066,121.1602218652367,16.09221463414634,0.10996935323738852
1996-01-01,221.33182509421877,117.7211947413602,59.42233495934959,0.2684762344233781
1996-02-01,132.10261244116617,108.5877623577155,17.63920650406504,0.13352655317033127
1996-03-01,51.97968210049395,91.7985256470918,13.756617886178862,0.2646537518175421
1996-04-01,36.687307193102825,64.0827925780225,4.5050536585365855,0.12279597504456612
1996-05-01,155.43478711971952,52.9862984905775,43.81757398373984,0.2819032650007139
1996-06-01,63.15918564762777,39.6681592525953,11.607492682926829,0.1837815444246913
1996-07-01,41.06685921792974,37.62724371727573,8.562419512195122,0.20849949753295915
1996-08-01,70.53963952633407,58.0332388174965,7.146406504065041,0.10131050501607855
