system:index,ET
2011_08_05,105.96321566300804
2011_08_13,121.44823494512019
2011_08_21,132.7176505487986
2011_08_29,155.1472560071195
2011_09_06,155.87967962029072
2011_09_14,212.34571343814892
2011_09_22,189.17597152180358
2011_09_30,162.28780777217435
2011_10_08,214.0082468110353
2011_10_16,270.3563334322161
2011_10_24,251.5368140017799
2011_11_01,321.950875111243
2011_11_09,306.0709581726491
2011_11_17,284.97899733016914
2011_11_25,314.0295461287454
2011_12_03,287.87997626816974
2011_12_11,290.39798279442317
2011_12_19,348.4962325719372
2011_12_27,192.43358053989905
2012_01_01,374.9783447048354
2012_01_09,318.76428359537243
2012_01_17,304.2235538415901
2012_01_25,273.8038564224266
2012_02_02,334.43482646099073
2012_02_10,329.4970038564223
2012_02_18,319.6756452091369
2012_02_26,299.1616137644615
2012_03_05,263.23174132304956
2012_03_13,258.45879560961134
2012_03_21,242.3317709878375
2012_03_29,239.0940373776327
2012_04_06,180.00943340255114
2012_04_14,125.18932067635716
2012_04_22,148.6749332542272
2012_04_30,129.93556808068828
2012_05_08,128.021833283892
2012_05_16,108.93817858202316
2012_05_24,101.07107683180067
2012_06_01,77.19715218036194
2012_06_09,84.0962919015129
2012_06_17,85.83767428062893
2012_06_25,74.38516760605161
2012_07_03,74.79204983684366
2012_07_11,78.3163452981311
2012_07_19,92.92649065559182
2012_07_27,89.16505487985762
2012_08_04,87.29611391278553
2012_08_12,110.01601898546423
2012_08_20,133.8884603975081
2012_08_28,143.45470186888164
2012_09_05,172.1288045090478
2012_09_13,167.61453574606944
2012_09_21,194.17911598932068
2012_09_29,206.32471076831794
2012_10_07,180.84882824087805
2012_10_15,239.7569860575498
2012_10_23,192.95372293088107
2012_10_31,241.38718481162863
2012_11_08,238.46021951943052
2012_11_16,246.05060812815185
2012_11_24,280.471314150104
2012_12_02,273.9241768021358
2012_12_10,319.5200830614062
2012_12_18,294.5223375852864
2012_12_26,244.03340255117166
2013_01_01,371.32465143874236
2013_01_09,317.4719667754375
2013_01_17,300.45754968851975
2013_01_25,320.1091664194602
2013_02_02,334.2468703648769
2013_02_10,318.41572233758535
2013_02_18,269.24194601008605
2013_02_26,246.719845743103
2013_03_06,292.086502521507
2013_03_14,282.8483536042718
2013_03_22,275.9526549985169
2013_03_30,190.9833877187778
2013_04_07,188.5021655295166
2013_04_15,159.1832097300504
2013_04_23,173.91592999110048
2013_05_01,136.19056659744885
2013_05_09,120.87843369919905
2013_05_17,86.64787896766536
2013_05_25,102.20231385345598
2013_06_02,92.90910708988432
2013_06_10,93.1496885197271
2013_06_18,67.56297834470485
2013_06_26,71.93094037377634
2013_07_04,88.34102640166124
2013_07_12,111.37146247404333
2013_07_20,92.10964105606645
2013_07_28,111.44888757045385
2013_08_05,123.66294867991697
2013_08_13,121.14761198457431
2013_08_21,141.71865915158702
2013_08_29,168.96339365173546
2013_09_06,170.20177988727377
2013_09_14,179.73645802432515
2013_09_22,210.8016018985464
2013_09_30,216.3982201127262
2013_10_08,236.11681993473755
2013_10_16,260.3169979234648
2013_10_24,230.07582319786417
2013_11_01,260.84117472560075
2013_11_09,234.61447641649372
2013_11_17,244.71765054879856
2013_11_25,286.3835657075053
2013_12_03,330.93746662711374
2013_12_11,331.7581726490655
2013_12_19,298.7252447345001
2013_12_27,209.23957282705427
2014_01_01,272.2021358647285
2014_01_09,300.45630376742815
2014_01_17,296.79584692969445
2014_01_25,239.26027884900623
2014_02_02,268.9514090774251
2014_02_10,236.74701868881638
2014_02_18,236.4830614061109
2014_02_26,234.90358943933555
2014_03_06,265.68792643132605
2014_03_14,246.94684070008896
2014_03_22,171.54245031148037
2014_03_30,226.55401957875995
2014_04_07,198.80094927321267
2014_04_15,174.7509937703945
2014_04_23,156.97419163452983
2014_05_01,117.68513794126372
2014_05_09,122.10074161969744
2014_05_17,122.88715514684071
2014_05_25,117.79673687333134
2014_06_02,97.40611094630675
2014_06_10,92.08846039750819
2014_06_18,96.28537525956688
2014_06_26,86.01382379115988
2014_07_04,82.27119549095225
2014_07_12,85.2872738059923
2014_07_20,86.31272619400772
2014_07_28,97.1165826164343
2014_08_05,98.83464847226341
2014_08_13,87.14909522396916
2014_08_21,113.00361910412342
2014_08_29,112.16119845743106
2014_09_06,157.13716997923467
2014_09_14,173.88234945120146
2014_09_22,182.37454761198455
2014_09_30,233.68721447641653
2014_10_08,221.5518243844557
2014_10_16,253.80160189854635
2014_10_24,295.68270542865616
2014_11_01,264.28501928211216
2014_11_09,282.238267576387
2014_11_17,276.1752595668941
2014_11_25,243.76570750519133
2014_12_03,286.49658854939184
2014_12_11,263.28175615544353
2014_12_19,340.1372886383863
2014_12_27,198.8493028774844
2015_01_01,376.383031741323
2015_01_09,367.8133491545535
2015_01_17,346.5306437258973
2015_01_25,330.2087214476415
2015_02_02,347.8304360723821
2015_02_10,333.4449718184514
2015_02_18,303.1990507267871
2015_02_26,305.70964105606646
2015_03_06,266.7667754375556
2015_03_14,261.74731533669535
2015_03_22,251.44657371699793
2015_03_30,178.34601008602783
2015_04_07,183.29024028478193
2015_04_15,151.57870068229002
2015_04_23,153.52963512310887
2015_05_01,134.8351231088698
2015_05_09,118.83642835953721
2015_05_17,97.41234055176507
2015_05_25,98.5889646989024
2015_06_02,93.60415307030559
2015_06_10,86.07825571047168
2015_06_18,89.66211806585584
2015_06_26,94.01874814595077
2015_07_04,91.72554138237913
2015_07_12,76.62195194304361
2015_07_20,90.1332542272323
2015_07_28,104.56790269949568
2015_08_05,106.5868881637496
2015_08_13,126.22515574013646
2015_08_21,136.83381785820228
2015_08_29,143.78469296944527
2015_09_06,167.79193117769208
2015_09_14,176.6876891130228
2015_09_22,167.317235241768
2015_09_30,247.1308810442006
2015_10_08,232.7986354197567
2015_10_16,254.1858202313855
2015_10_24,244.18326905962627
2015_11_01,266.13556808068824
2015_11_09,279.58623553841596
2015_11_17,332.9309997033523
2015_11_25,325.96837733610215
2015_12_03,324.93598338771875
2015_12_11,331.5893800059331
2015_12_19,304.0452684663304
2015_12_27,206.681340848413
2016_01_01,283.3121328982498
2016_01_09,358.96274102640166
2016_01_17,360.9175318896471
2016_01_25,332.54387422129935
2016_02_02,327.6879264313261
2016_02_10,346.3992880450905
2016_02_18,331.2360723820825
2016_02_26,292.2860872144764
2016_03_05,288.6223079204984
2016_03_13,227.4688223079205
