system:index,ET
2012_04_06,183.14061686878168
2012_04_14,126.6705277045578
2012_04_22,151.86556244912404
2012_04_30,133.95942255297166
2012_05_08,130.85429547009278
2012_05_16,113.32338161533495
2012_05_24,104.02519173476885
2012_06_01,81.60534323148782
2012_06_09,87.96895293224146
2012_06_17,88.99859798400016
2012_06_25,77.6528445666081
2012_07_03,78.7498603879031
2012_07_11,81.55881494468214
2012_07_19,96.13847244532558
2012_07_27,92.04741152564111
2012_08_04,90.44922062131707
2012_08_12,113.88502220468139
2012_08_20,137.24144392006082
2012_08_28,147.15728831241537
2012_09_05,175.37813146300508
2012_09_13,170.92825533891514
2012_09_21,195.00307160039324
2012_09_29,208.65462729161246
2012_10_07,184.5945088621225
2012_10_15,240.20697550462134
2012_10_23,194.44080076291814
2012_10_31,241.90229576629451
2012_11_08,237.19647873610012
2012_11_16,249.36605583250778
2012_11_24,286.85279721012256
2012_12_02,275.7421629695339
2012_12_10,320.56366073144204
2012_12_18,300.2761908591266
2012_12_26,241.98282417625347
2013_01_01,368.46119219174483
2013_01_09,318.85744597843495
2013_01_17,303.8080652740148
2013_01_25,325.23335742492173
2013_02_02,332.87138051284074
2013_02_10,317.39500463622727
2013_02_18,272.0716115237564
2013_02_26,248.74866919179627
2013_03_06,295.45830741127844
2013_03_14,285.2633532247799
2013_03_22,279.40136406129335
2013_03_30,193.0665538235328
2013_04_07,193.05966462701326
2013_04_15,162.30883947068693
2013_04_23,175.47797361244707
2013_05_01,139.05642233197773
2013_05_09,124.69419541698214
2013_05_17,89.11332479023713
2013_05_25,106.15958942402332
2013_06_02,97.14244609494322
2013_06_10,96.76710407160735
2013_06_18,71.89752837487237
2013_06_26,77.28303938360996
2013_07_04,91.80141246448132
2013_07_12,113.5761658373541
2013_07_20,95.24644979773406
2013_07_28,114.86032514458797
2013_08_05,125.82552471820703
2013_08_13,123.40479630562245
2013_08_21,144.36151423898934
2013_08_29,171.60331800721977
2013_09_06,172.557179168218
2013_09_14,181.74134346535624
2013_09_22,211.863263763876
2013_09_30,218.45257727746733
2013_10_08,235.33160837065952
2013_10_16,257.93296317956396
2013_10_24,230.75666343645184
2013_11_01,257.310928756707
2013_11_09,236.50694864721305
2013_11_17,245.8171186661358
2013_11_25,283.5337677418584
2013_12_03,330.91351619534873
2013_12_11,331.0154339318867
2013_12_19,299.33221527301095
2013_12_27,209.00578727775377
2014_01_01,273.66537370178156
2014_01_09,297.1304936912918
2014_01_17,299.61410377616306
2014_01_25,237.85338824105463
2014_02_02,268.56905302519004
2014_02_10,238.5623940838503
2014_02_18,241.90768011212847
2014_02_26,241.68192648324793
2014_03_06,272.1182140073687
2014_03_14,250.8905871409945
2014_03_22,176.06072009344302
2014_03_30,232.31903858786217
2014_04_07,202.359699239009
2014_04_15,179.07022649715526
2014_04_23,160.36168498245195
2014_05_01,121.79304556614053
2014_05_09,127.14601294120658
2014_05_17,125.2783709407927
2014_05_25,121.30370248171883
2014_06_02,101.7186945261638
2014_06_10,94.4982191570116
2014_06_18,99.11670928849696
2014_06_26,89.61722198511664
2014_07_04,85.66710028365407
2014_07_12,87.42377377216717
2014_07_20,89.18382933746209
2014_07_28,100.18983401117734
2014_08_05,101.59773127272598
2014_08_13,90.96651627159015
2014_08_21,116.52000549363012
2014_08_29,114.0598869830991
2014_09_06,160.4873891619284
2014_09_14,177.2088188397952
2014_09_22,185.89077555245623
2014_09_30,236.57271852225506
2014_10_08,223.08360951562847
2014_10_16,255.8550235634919
2014_10_24,298.1308743661228
2014_11_01,267.11716181188694
2014_11_09,284.1955644964942
2014_11_17,278.47908451411405
2014_11_25,247.28361004190924
2014_12_03,287.8469222465644
2014_12_11,263.4408604259788
2014_12_19,337.76366940579936
2014_12_27,199.11070887189567
2015_01_01,378.28820066546706
2015_01_09,369.25481957646207
2015_01_17,341.48301315158756
2015_01_25,324.7327764924294
2015_02_02,343.2974447098934
2015_02_10,329.75555876911363
2015_02_18,304.30560182820824
2015_02_26,306.8560057802241
2015_03_06,267.65612532701084
2015_03_14,262.7955982868462
2015_03_22,252.50795787123099
2015_03_30,181.3318555322459
2015_04_07,187.3745641090127
2015_04_15,156.7302889026358
2015_04_23,156.11974366843543
2015_05_01,138.43919783750758
2015_05_09,122.36710517201234
2015_05_17,101.01848901155239
2015_05_25,101.0634305226404
2015_06_02,96.6081539127876
2015_06_10,87.10829440974939
2015_06_18,92.0723537212848
2015_06_26,96.85431820561948
2015_07_04,94.54062187577237
2015_07_12,79.46579156874823
2015_07_20,92.01802588443377
2015_07_28,106.98840117113468
2015_08_05,109.37083875848872
2015_08_13,127.86184961119544
2015_08_21,138.37939068993967
2015_08_29,147.01464626330346
2015_09_06,169.52175818938298
2015_09_14,177.57623796907106
2015_09_22,169.33577769128965
2015_09_30,248.6505542003072
2015_10_08,236.00575096047157
2015_10_16,256.28438290335123
2015_10_24,246.01041079630315
2015_11_01,268.1495155157916
2015_11_09,282.3831683463322
2015_11_17,335.03493540911217
2015_11_25,324.8320118371601
2015_12_03,324.12193833267145
2015_12_11,332.3051191339897
2015_12_19,309.9485350624415
2015_12_27,206.97564776612828
2016_01_01,286.32849726991407
2016_01_09,362.7256190000973
2016_01_17,365.02814397975044
2016_01_25,338.3437816755576
2016_02_02,331.62520221351866
2016_02_10,347.93286844413547
2016_02_18,334.6463392084625
2016_02_26,296.38754744698673
2016_03_05,293.4987645509028
2016_03_13,231.0498702529835
2016_03_21,215.00029572295185
2016_03_29,215.98552726778905
2016_04_06,184.6784950151573
2016_04_14,161.28533434876599
2016_04_22,139.0656152617456
2016_04_30,140.01979484216656
2016_05_08,133.2783781466413
2016_05_16,120.5117028327936
2016_05_24,102.07631010811053
2016_06_01,91.06172611974371
2016_06_09,100.96464384939276
2016_06_17,82.32626299304016
2016_06_25,75.97825130368875
2016_07_03,81.24256008941808
2016_07_11,87.12122123356055
2016_07_19,102.4671451210224
2016_07_27,94.40703410730794
2016_08_04,105.59878844785916
2016_08_12,124.71477240129362
2016_08_20,105.45792350455608
2016_08_28,146.96805743955778
2016_09_05,177.74306428157487
2016_09_13,163.9531113670604
2016_09_21,196.61614931936225
2016_09_29,216.83375332869602
2016_10_07,215.64118588428343
2016_10_15,237.68072801782614
2016_10_23,264.04258726855176
2016_10_31,292.1864109401468
2016_11_08,288.8428932837602
2016_11_16,352.01545099939796
2016_11_24,316.25387431167303
2016_12_02,291.81574421885387
2016_12_10,296.0447949287007
2016_12_18,314.3597868613476
2016_12_26,235.74247496422905
2017_01_01,338.95983213907317
