system:index,Evap_tavg
A20000311_1500,2.019236804910027E-7
A20000311_1800,6.845201848974929E-7
A20000311_2100,4.239695677939589E-7
A20000312_0000,4.915734797535974E-5
A20000312_0300,7.726501166424556E-5
A20000312_0600,4.736912609681399E-5
A20000312_0900,7.119172641118844E-6
A20000312_1200,4.5764389435555754E-7
A20000312_1500,6.314412096615832E-7
A20000312_1800,6.422498612120721E-7
A20000312_2100,7.46494840096759E-7
A20000313_0000,1.0507451948969557E-5
A20000313_0300,6.150270754547811E-5
A20000313_0600,6.56282277225531E-5
A20000313_0900,1.027337037117891E-5
A20000313_1200,4.654529503973335E-7
A20000313_1500,6.918418117610982E-7
A20000313_1800,1.1499753141761079E-7
A20000313_2100,-2.0707330276987386E-7
A20000314_0000,4.709367874699395E-5
A20000314_0300,1.0335774090948323E-4
A20000314_0600,6.699672070343163E-5
A20000314_0900,7.960471322148671E-6
A20000314_1200,-1.1038515791397705E-6
A20000314_1500,-8.363905377627645E-7
A20000314_1800,-7.504475761414787E-7
A20000314_2100,1.3676772833699174E-6
A20000315_0000,2.9256683505919993E-5
A20000315_0300,7.235664400207971E-5
A20000315_0600,4.1410053435023386E-5
A20000315_0900,9.43749627469286E-6
A20000315_1200,5.944434248874287E-7
A20000315_1500,2.4414272643277566E-7
A20000315_1800,-8.685710847819697E-7
A20000315_2100,-1.745957295908481E-6
A20000316_0000,5.7348368647367766E-5
A20000316_0300,1.0775106699493715E-4
A20000316_0600,8.500940913189722E-5
A20000316_0900,1.2571243282885433E-5
A20000316_1200,-1.2031928909551804E-6
A20000316_1500,-4.2311809856137683E-7
A20000316_1800,-1.6183255747271836E-6
A20000316_2100,-3.8680514130808686E-7
A20000317_0000,8.383878174638969E-5
A20000317_0300,1.268720005683215E-4
A20000317_0600,9.418533694742782E-5
A20000317_0900,1.906968309011187E-5
A20000317_1200,-1.7492552283165177E-6
A20000317_1500,-1.2899921332850985E-6
A20000317_1800,-1.41034492898382E-6
A20000317_2100,-2.077997815962586E-6
A20000318_0000,6.347428901698421E-5
A20000318_0300,1.1485501076071399E-4
A20000318_0600,7.771167085556941E-5
A20000318_0900,1.3710913487070313E-5
A20000318_1200,-1.3874457220997433E-7
A20000318_1500,-6.966519947024925E-7
A20000318_1800,-1.2841326240125986E-6
A20000318_2100,-1.4626273197513634E-6
A20000319_0000,6.241868143118023E-5
A20000319_0300,1.3033258703072854E-4
A20000319_0600,1.1106002206541659E-4
A20000319_0900,2.3242466634955992E-5
A20000319_1200,-1.5815653678597497E-6
A20000319_1500,-1.112031269843523E-6
A20000319_1800,-6.791073329432061E-7
A20000319_2100,-1.4399598060809392E-6
A20000320_0000,7.212944808742849E-5
A20000320_0300,1.4506824599833177E-4
A20000320_0600,7.197916330909293E-5
A20000320_0900,7.4744332685673485E-6
A20000320_1200,-6.088308695334322E-7
A20000320_1500,2.232055867307208E-6
A20000320_1800,2.2715078022853526E-6
A20000320_2100,3.977625921721962E-6
A20000321_0000,1.8634415650844216E-5
A20000321_0300,3.0423726448405526E-5
A20000321_0600,1.64028830167279E-5
A20000321_0900,2.796425788912304E-6
A20000321_1200,8.491895277616402E-7
