Date,P,Ep,Qobs,Qsim
2020-09-14,0.0,0.0025210144430556,18.204,1.7574779202650326
2020-09-15,0.0,0.0019630779229574,15.107,1.7388427607888632
2020-09-16,4.96860641674876e-08,0.0026912046113534,13.054,1.7171547898990602
2020-09-17,1.5351397533616984,0.0027364647838827,11.666,1.699557694555751
2020-09-18,10.660299356948324,0.0023842742969627,10.557,1.7362600234978978
2020-09-19,3.4699708394348443,0.0024422695221899,9.778,1.8234763355274493
2020-09-20,3.47619476359125,0.0023919110336973,9.143,1.9037026755453257
2020-09-21,3.713069416681127,0.0034014858161201,8.746,1.8863316550428588
2020-09-22,0.0,0.0030190046750213,8.606,1.8688379691836445
2020-09-23,0.0,0.0028845073028121,8.542,1.8476987003894056
2020-09-24,0.0,0.0025818497996317,8.741,1.821031051425782
2020-09-25,0.0759930297721112,0.0030581649452324,9.028,1.798507245968627
2020-09-26,0.0,0.0021535819402465,8.328,1.7764536430229687
2020-09-27,0.0,0.0020697170101351,7.485,1.7546751068701296
2020-09-28,0.0,0.0018070864897462,6.896,1.7327896646012821
2020-09-29,4.810252682839562,0.0022006892687918,6.506,1.7231537201994893
2020-09-30,5.432243232736644,0.0019303392964071,6.314,1.7404460317097148
2020-10-01,0.0,0.0023790630400237,6.054,1.7710513663531604
2020-10-02,0.0,0.0028422963512072,5.904,1.7760190768318778
2020-10-03,0.0,0.0029155944366085,5.785,1.7512617434116207
2020-10-04,0.0,0.00294219251827,5.653,1.7294188748184474
2020-10-05,0.0,0.0026853930553093,5.656,1.707848444603017
2020-10-06,0.0,0.0022275580858555,5.446,1.6865470547377615
2020-10-07,0.2908091498824079,0.0022466253414787,5.146,1.6662353464993938
2020-10-08,0.0,0.0028004028707712,4.908,1.6469009759388697
2020-10-09,0.0,0.0024513308428132,4.696,1.6278077561469682
2020-10-10,0.0,0.0024630521984032,4.347,1.607504685491636
2020-10-11,0.0,0.0023804379028083,4.089,1.5874548478587407
2020-10-12,0.0655983071666522,0.0022495531541432,3.86,1.5678183252737978
2020-10-13,0.0,0.0022548406528435,3.642,1.5485899626043353
2020-10-14,0.0,0.0021306823011275,3.393,1.5296014285045487
2020-10-15,0.0,0.0024418648800243,3.263,1.510523250654522
2020-10-16,0.8938824740552054,0.0020598322290787,3.142,1.4939066922909512
2020-10-17,15.145703978846656,0.0023183819717735,3.274,1.5603564379358215
2020-10-18,4.980300505556353,0.0022747391085019,3.072,1.7169300260027742
2020-10-19,0.0,0.0029048230404889,3.176,1.8539988250872466
2020-10-20,0.0,0.002040626826774,3.358,1.7872201618324577
2020-10-21,0.6595225035859499,0.002194468691797,3.252,1.684837706554782
2020-10-22,0.3504654854843297,0.0026868201684518,3.22,1.6330920287058293
2020-10-23,10.737034013458976,0.0027006944871901,4.03,1.6686013658462133
2020-10-24,12.410277096842115,0.0029664249743199,4.28,1.8126524155188224
2020-10-25,3.7661503431633374,0.0024388792880323,4.306,2.01628088445978
2020-10-26,11.52783501003746,0.0028226802741459,4.778,2.1720560656082237
2020-10-27,1.3085128954915448,0.0026961908415091,5.595,2.24210358459421
2020-10-28,30.577434395053213,0.003119458392195,23.628,2.4761348759616437
2020-10-29,4.227638204714627,0.0035951898952907,24.698,2.782956370719111
2020-10-30,0.8642412230511064,0.0040681406661216,19.854,3.097061444867051
2020-10-31,0.1852564222587993,0.0037175241113083,23.821,2.9930295146231307
2020-11-01,0.0,0.0028666241331925,27.972,2.8371889911988997
2020-11-02,0.0,0.0024367723222433,25.019,2.6757515284317774
2020-11-03,0.0,0.0032161063052149,19.815,2.5181255112687375
2020-11-04,0.0,0.0039055463032474,17.659,2.3666884434834063
2020-11-05,0.0,0.0043718971759792,16.223,2.237365008124661
2020-11-06,0.0,0.0027430347493164,13.528,2.1512249061561177
2020-11-07,0.0,0.0032413982622079,12.251,2.112204178678743
2020-11-08,0.0,0.0027890829866349,16.377,2.0858594026962836
2020-11-09,0.0,0.0028009234926892,14.623,2.0598432157908513
2020-11-10,0.0,0.0034967167945079,12.734,2.0341515195870565
2020-11-11,0.0,0.0034699527837611,11.46,2.008780266827097
2020-11-12,8.867602320295322,0.0033349338129278,10.068,2.0218570611148734
2020-11-13,10.600261375200883,0.0035975006615767,9.213,2.122279722354172
2020-11-14,0.0,0.0038217123882619,8.602,2.2474680654746617
2020-11-15,0.0,0.003893745862517,8.313,2.255809016566783
2020-11-16,1.1763439645592162,0.003521702508284,8.444,2.1525583649244737
2020-11-17,0.5956384126583116,0.0027520713076718,8.851,2.101728478767958
2020-11-18,0.0,0.0029372534769202,7.748,2.084343673428524
2020-11-19,0.0,0.0032246492069653,6.63,2.0613141439136933
2020-11-20,3.3543959263433965,0.0032614840725228,5.821,2.0439581259112383
2020-11-21,7.643523985229908,0.0032667268890965,5.357,2.06501524183665
2020-11-22,0.5206760628906244,0.0037822481330042,4.927,2.106144528330564
2020-11-23,5.377910437930431,0.0034451073036066,4.657,2.1350186227873005
2020-11-24,0.0,0.0028100215442813,4.683,2.1172446847716855
2020-11-25,0.0,0.0028555044722629,4.21,2.117631783672108
2020-11-26,0.0,0.0031160290092829,3.901,2.089066707423421
2020-11-27,0.0,0.0034107223012139,3.678,2.0630105169400217
2020-11-28,0.1754208314529699,0.0033974376517641,3.592,2.0377161826118115
2020-11-29,4.818387960002806,0.0026435094163559,3.254,2.0251724632262693
2020-11-30,0.0,0.0020874043295723,2.922,2.0247834583679376
2020-12-01,0.280665039578544,0.0030169879645296,2.643,2.0242245572420416
2020-12-02,0.9397173354935644,0.0031467131363602,2.407,2.0027151907103216
2020-12-03,10.577901602091131,0.0032449836530089,2.237,2.03355466978733
2020-12-04,0.13644131755661,0.0035349598227488,2.202,2.090450119994868
2020-12-05,8.057355931454456,0.0037621128131879,2.256,2.1526778726070077
2020-12-06,11.89209825706626,0.003303182865466,3.781,2.2055226916616473
2020-12-07,13.360212324898782,0.002926124938147,2.941,2.427040513720841
2020-12-08,0.0,0.0027425978333226,2.512,2.6231995112407422
2020-12-09,0.0,0.0028172954067827,2.206,2.6519963582975485
2020-12-10,0.8268658614979937,0.0030963110595825,2.592,2.504724477261356
2020-12-11,1.1575798952612473,0.004030405951728,2.562,2.3856025906226606
2020-12-12,0.0,0.0032603948693914,2.711,2.309969584261552
2020-12-13,0.0,0.0027763799261905,2.445,2.2700077530412495
2020-12-14,5.75057601943099,0.0024264561723817,2.414,2.258706989899778
2020-12-15,30.458837239838815,0.002675752633251,4.147,2.4492752362994743
2020-12-16,8.633231863329272,0.003525398195779,97.353,2.855037477709948
2020-12-17,0.1155540758861439,0.0038745712380231,119.065,3.229147759299737
2020-12-18,36.41405059549715,0.0042958396642665,70.996,3.4258388693437656
2020-12-19,0.0,0.0027307313620324,50.03,3.746671363447179
2020-12-20,1.2678936400784002,0.0026996325362386,54.128,4.0643832477330175
2020-12-21,14.285312025949288,0.0015597797661873,50.932,3.9828431551556203
2020-12-22,1.97103752517988,0.003249912882804,108.514,4.01525681914644
2020-12-23,1.817714167012921,0.0040572331658137,389.206,4.055793987840706
2020-12-24,16.382854247291036,0.0036938360665786,327.797,4.025180090674469
2020-12-25,0.0,0.0038560852425269,144.577,4.080818998811845
2020-12-26,4.916080130624329,0.0039399122919063,89.788,4.143949192908347
2020-12-27,18.273464137464124,0.0043578231572329,63.452,4.14053903193113
2020-12-28,16.200106756465953,0.0040800441575894,52.872,4.372140393051957
2020-12-29,17.808608684702858,0.0037842522012076,45.107,4.760827303914742
2020-12-30,0.0,0.0035248557309394,41.633,5.009680044000314
2020-12-31,0.0,0.003977850374787,54.449,5.030553803471649
2021-01-01,12.16579982266224,0.0037237160426754,131.242,4.891969853486675
2021-01-02,1.3857260034046557,0.0031038055492872,437.182,4.850791158994011
2021-01-03,6.8931517620197,0.0037464409967313,454.448,4.867877425897987
2021-01-04,13.569872826297354,0.0041258363216658,301.98,4.858711586413784
